"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Sertãozinho (PB)";"587";"-";"-";"40";"-"
"Sobrado (PB)";"568";"-";"187";"15";"-"
"Solânea (PB)";"1687";"-";"5";"700";"-"
"Soledade (PB)";"1299";"-";"-";"600";"-"
"Sossêgo (PB)";"358";"-";"-";"170";"-"
"Sousa (PB)";"3117";"-";"10";"1170";"-"
"Sumé (PB)";"1695";"-";"-";"800";"-"
"Tacima (PB)";"2503";"-";"-";"1500";"-"
"Taperoá (PB)";"1824";"-";"5";"900";"-"
"Tavares (PB)";"3776";"-";"10";"2500";"-"
"Teixeira (PB)";"2413";"-";"3";"1100";"-"
"Tenório (PB)";"678";"-";"-";"300";"-"
"Triunfo (PB)";"396";"-";"-";"210";"-"
"Uiraúna (PB)";"1192";"-";"5";"750";"-"
"Umbuzeiro (PB)";"1340";"-";"-";"350";"-"
"Várzea (PB)";"803";"-";"-";"400";"-"
"Vieirópolis (PB)";"488";"-";"-";"245";"-"
"Zabelê (PB)";"422";"-";"-";"200";"-"
"Abreu e Lima (PE)";"1775";"-";"1395";"-";"-"
"Afogados da Ingazeira (PE)";"4546";"-";"10";"2125";"-"
"Afrânio (PE)";"7200";"-";"-";"4200";"-"
"Agrestina (PE)";"1100";"-";"-";"500";"-"
"Água Preta (PE)";"5017";"-";"4700";"-";"-"
"Águas Belas (PE)";"1706";"-";"-";"21";"-"
"Alagoinha (PE)";"170";"-";"-";"30";"-"
"Aliança (PE)";"10132";"-";"10000";"10";"-"
"Altinho (PE)";"1068";"-";"-";"400";"-"
"Amaraji (PE)";"6486";"-";"5326";"-";"-"
"Angelim (PE)";"1001";"-";"-";"150";"-"
"Araçoiaba (PE)";"4089";"-";"4072";"-";"-"
"Araripina (PE)";"30268";"-";"-";"14000";"-"
"Arcoverde (PE)";"875";"-";"-";"300";"-"
"Barra de Guabiraba (PE)";"1637";"-";"-";"-";"-"
"Barreiros (PE)";"3425";"-";"3000";"-";"-"
"Belém de Maria (PE)";"961";"-";"-";"-";"-"
"Belém do São Francisco (PE)";"10948";"-";"-";"440";"-"
"Belo Jardim (PE)";"1240";"-";"-";"300";"-"
"Betânia (PE)";"4060";"-";"-";"2000";"-"
"Bezerros (PE)";"2410";"-";"-";"630";"-"
"Bodocó (PE)";"11650";"-";"-";"5600";"-"
"Bom Conselho (PE)";"4203";"-";"-";"1500";"-"
"Bom Jardim (PE)";"4950";"-";"1000";"1100";"-"
"Bonito (PE)";"3290";"-";"50";"-";"-"
"Brejão (PE)";"1237";"-";"-";"750";"-"
"Brejinho (PE)";"2334";"-";"6";"1100";"-"
"Brejo da Madre de Deus (PE)";"470";"10";"2";"200";"-"
"Buenos Aires (PE)";"2717";"-";"2600";"-";"-"
"Buíque (PE)";"2730";"-";"-";"400";"-"
"Cabo de Santo Agostinho (PE)";"9997";"-";"9000";"-";"-"
"Cabrobó (PE)";"2223";"-";"-";"605";"-"
"Cachoeirinha (PE)";"510";"-";"-";"10";"-"
"Caetés (PE)";"10990";"-";"-";"1100";"-"
"Calçado (PE)";"4746";"-";"-";"150";"-"
"Calumbi (PE)";"687";"-";"3";"350";"-"
"Camaragibe (PE)";"403";"-";"-";"-";"-"
"Camocim de São Félix (PE)";"251";"-";"-";"25";"-"
"Camutanga (PE)";"2290";"-";"2000";"-";"-"
"Canhotinho (PE)";"2196";"-";"200";"90";"-"
"Capoeiras (PE)";"1440";"-";"-";"100";"-"
"Carnaíba (PE)";"8359";"-";"18";"4000";"-"
"Carnaubeira da Penha (PE)";"2379";"-";"3";"1000";"-"
"Carpina (PE)";"1874";"-";"1800";"-";"-"
"Caruaru (PE)";"2350";"-";"5";"1800";"-"
"Casinhas (PE)";"2465";"-";"-";"1100";"-"
"Catende (PE)";"1756";"-";"1300";"-";"-"
"Cedro (PE)";"2734";"-";"-";"2200";"-"
"Chã de Alegria (PE)";"2716";"-";"2700";"-";"-"
"Chã Grande (PE)";"400";"-";"-";"5";"-"
"Condado (PE)";"2101";"-";"2000";"-";"-"
"Correntes (PE)";"2118";"-";"-";"20";"-"
"Cortês (PE)";"1734";"-";"1273";"-";"-"
"Cumaru (PE)";"2556";"-";"-";"1500";"-"
"Cupira (PE)";"290";"-";"-";"80";"-"
"Custódia (PE)";"7074";"-";"-";"3500";"-"
"Dormentes (PE)";"7509";"-";"9";"4500";"-"
"Escada (PE)";"18982";"-";"18276";"-";"-"
"Exu (PE)";"22920";"15";"-";"12000";"-"
"Feira Nova (PE)";"1381";"-";"380";"-";"-"
"Fernando de Noronha (PE)";"...";"...";"...";"...";"..."
"Ferreiros (PE)";"3060";"-";"3000";"-";"-"
"Flores (PE)";"14228";"-";"6";"8000";"-"
"Floresta (PE)";"1872";"-";"-";"750";"-"
"Frei Miguelinho (PE)";"1190";"-";"-";"650";"-"
"Gameleira (PE)";"5980";"-";"5574";"-";"-"
"Garanhuns (PE)";"2194";"25";"-";"325";"-"
"Glória do Goitá (PE)";"3380";"-";"1800";"990";"-"
"Goiana (PE)";"10758";"-";"10000";"-";"-"
"Granito (PE)";"840";"-";"-";"640";"-"
"Gravatá (PE)";"1270";"-";"-";"-";"-"
"Iati (PE)";"2301";"-";"-";"130";"-"
"Ibimirim (PE)";"2633";"-";"-";"200";"-"
"Ibirajuba (PE)";"580";"-";"-";"250";"-"
"Igarassu (PE)";"8513";"-";"8209";"-";"-"
"Iguaracy (PE)";"5144";"-";"8";"2500";"-"
"Inajá (PE)";"2218";"-";"-";"345";"-"
"Ingazeira (PE)";"1342";"-";"1";"700";"-"
"Ipojuca (PE)";"29715";"-";"29000";"-";"-"
"Ipubi (PE)";"15895";"-";"-";"7800";"-"
"Itacuruba (PE)";"354";"-";"-";"119";"-"
"Itaíba (PE)";"1425";"-";"-";"500";"-"
"Ilha de Itamaracá (PE)";"2";"-";"-";"-";"-"
"Itambé (PE)";"15215";"-";"15000";"10";"-"
"Itapetim (PE)";"3759";"-";"30";"1800";"-"
"Itapissuma (PE)";"933";"-";"878";"-";"-"
"Itaquitinga (PE)";"5227";"-";"5000";"-";"-"
"Jaboatão dos Guararapes (PE)";"3555";"-";"3000";"-";"-"
"Jaqueira (PE)";"904";"-";"570";"-";"-"
"Jataúba (PE)";"200";"-";"-";"100";"-"
"Jatobá (PE)";"1270";"-";"2";"500";"-"
"João Alfredo (PE)";"1435";"-";"2";"800";"-"
"Joaquim Nabuco (PE)";"2704";"-";"2500";"-";"-"
"Jucati (PE)";"5681";"-";"-";"100";"-"
"Jupi (PE)";"8876";"-";"-";"160";"-"
"Jurema (PE)";"3070";"-";"-";"150";"-"
"Lagoa do Carro (PE)";"773";"-";"700";"-";"-"
"Lagoa de Itaenga (PE)";"2834";"-";"2650";"-";"-"
"Lagoa do Ouro (PE)";"310";"-";"-";"140";"-"
"Lagoa dos Gatos (PE)";"1675";"-";"120";"300";"-"
"Lagoa Grande (PE)";"8829";"-";"-";"3000";"-"
"Lajedo (PE)";"1530";"-";"-";"300";"-"
"Limoeiro (PE)";"3508";"-";"778";"900";"-"
"Macaparana (PE)";"3686";"-";"1500";"-";"-"
"Machados (PE)";"3946";"-";"100";"150";"-"
"Manari (PE)";"2614";"-";"-";"1300";"-"
"Maraial (PE)";"952";"-";"900";"-";"-"
"Mirandiba (PE)";"1953";"-";"-";"700";"-"
"Moreno (PE)";"8205";"-";"7900";"-";"-"
"Nazaré da Mata (PE)";"4104";"-";"4000";"-";"-"
"Olinda (PE)";"...";"...";"...";"...";"..."
"Orobó (PE)";"3365";"-";"-";"800";"-"
"Orocó (PE)";"5247";"-";"-";"210";"-"
"Ouricuri (PE)";"17862";"-";"-";"10000";"-"
"Palmares (PE)";"5057";"-";"4500";"-";"-"
"Palmeirina (PE)";"290";"-";"-";"20";"-"
"Panelas (PE)";"1861";"-";"300";"800";"-"
"Paranatama (PE)";"1983";"30";"-";"160";"-"
"Parnamirim (PE)";"3332";"-";"-";"2000";"-"
"Passira (PE)";"2097";"-";"-";"1100";"-"
"Paudalho (PE)";"6232";"-";"6100";"-";"-"
"Paulista (PE)";"...";"...";"...";"...";"..."
"Pedra (PE)";"2498";"-";"-";"1800";"-"
"Pesqueira (PE)";"2985";"-";"-";"675";"-"
"Petrolândia (PE)";"5483";"-";"-";"260";"-"
"Petrolina (PE)";"39250";"-";"130";"6500";"-"
"Poção (PE)";"825";"-";"-";"200";"-"
"Pombos (PE)";"2144";"-";"800";"-";"-"
"Primavera (PE)";"11217";"-";"10917";"-";"-"
"Quipapá (PE)";"1148";"-";"400";"-";"-"
"Quixaba (PE)";"4407";"-";"9";"3000";"-"
"Recife (PE)";"...";"...";"...";"...";"..."
"Riacho das Almas (PE)";"2987";"-";"-";"2000";"-"
"Ribeirão (PE)";"9953";"-";"9078";"-";"-"
"Rio Formoso (PE)";"7937";"-";"7279";"-";"-"
"Sairé (PE)";"740";"-";"-";"100";"-"
"Salgadinho (PE)";"1400";"-";"-";"700";"-"
"Salgueiro (PE)";"1446";"-";"-";"543";"-"
"Saloá (PE)";"2459";"50";"-";"2000";"-"
"Sanharó (PE)";"1750";"-";"-";"50";"-"
"Santa Cruz (PE)";"12485";"-";"-";"5500";"-"
"Santa Cruz da Baixa Verde (PE)";"2632";"2";"270";"900";"-"
"Santa Cruz do Capibaribe (PE)";"361";"-";"-";"300";"-"
"Santa Filomena (PE)";"9781";"-";"-";"5000";"-"
"Santa Maria da Boa Vista (PE)";"17960";"-";"10";"2000";"-"
"Santa Maria do Cambucá (PE)";"1855";"-";"-";"1100";"-"
"Santa Terezinha (PE)";"2593";"-";"7";"1300";"-"
"São Benedito do Sul (PE)";"654";"-";"280";"-";"-"
"São Bento do Una (PE)";"6820";"-";"-";"300";"-"
"São Caitano (PE)";"940";"-";"-";"400";"-"
"São João (PE)";"13081";"-";"-";"100";"-"
"São Joaquim do Monte (PE)";"610";"-";"-";"50";"-"
"São José da Coroa Grande (PE)";"211";"-";"-";"-";"-"
"São José do Belmonte (PE)";"4057";"-";"-";"2200";"-"
"São José do Egito (PE)";"6199";"-";"16";"3000";"-"
"São Lourenço da Mata (PE)";"4904";"-";"4691";"-";"-"
"São Vicente Férrer (PE)";"7309";"-";"500";"-";"-"
"Serra Talhada (PE)";"5807";"-";"-";"3300";"-"
"Serrita (PE)";"2741";"-";"-";"1500";"-"
"Sertânia (PE)";"3100";"-";"-";"2200";"-"
"Sirinhaém (PE)";"22731";"-";"22271";"-";"-"
"Moreilândia (PE)";"1307";"-";"-";"600";"-"
"Solidão (PE)";"2240";"-";"19";"1000";"-"
"Surubim (PE)";"4402";"-";"-";"2100";"-"
"Tabira (PE)";"6781";"-";"10";"3300";"-"
"Tacaimbó (PE)";"425";"-";"-";"150";"-"
"Tacaratu (PE)";"4089";"-";"4";"1700";"-"
"Tamandaré (PE)";"2381";"-";"2100";"-";"-"
"Taquaritinga do Norte (PE)";"2882";"700";"-";"1200";"-"
"Terezinha (PE)";"1750";"-";"-";"900";"-"
"Terra Nova (PE)";"527";"-";"-";"250";"-"
"Timbaúba (PE)";"4742";"-";"4000";"-";"-"
"Toritama (PE)";"...";"...";"...";"...";"..."
"Tracunhaém (PE)";"4190";"-";"4000";"-";"-"
"Trindade (PE)";"3800";"-";"-";"2500";"-"
"Triunfo (PE)";"1722";"90";"150";"500";"-"
"Tupanatinga (PE)";"2707";"-";"-";"900";"-"
"Tuparetama (PE)";"1859";"-";"4";"1300";"-"
"Venturosa (PE)";"335";"-";"-";"300";"-"
"Verdejante (PE)";"854";"-";"-";"250";"-"
"Vertente do Lério (PE)";"970";"-";"-";"500";"-"
"Vertentes (PE)";"1562";"60";"-";"900";"-"
"Vicência (PE)";"17160";"-";"8000";"-";"-"
"Vitória de Santo Antão (PE)";"8186";"-";"6500";"50";"-"
"Xexéu (PE)";"4081";"-";"3900";"-";"-"
"Água Branca (AL)";"1746";"-";"10";"480";"-"
"Anadia (AL)";"4060";"-";"424";"590";"1300"
"Arapiraca (AL)";"6889";"-";"454";"250";"-"
"Atalaia (AL)";"13655";"-";"12637";"-";"350"
"Barra de Santo Antônio (AL)";"2382";"-";"1926";"-";"-"
"Barra de São Miguel (AL)";"2899";"-";"2801";"-";"-"
"Batalha (AL)";"3145";"-";"-";"3000";"-"
"Belém (AL)";"548";"-";"2";"150";"-"
"Belo Monte (AL)";"1655";"-";"-";"1600";"-"
"Boca da Mata (AL)";"8335";"-";"6475";"150";"91"
"Branquinha (AL)";"4664";"-";"761";"150";"-"
"Cacimbinhas (AL)";"1488";"-";"-";"1000";"-"
"Cajueiro (AL)";"556";"-";"97";"70";"-"
"Campestre (AL)";"1322";"-";"1032";"-";"-"
"Campo Alegre (AL)";"8535";"-";"6118";"100";"665"
"Campo Grande (AL)";"240";"-";"-";"50";"-"
"Canapi (AL)";"1639";"-";"-";"800";"-"
"Capela (AL)";"2422";"-";"1885";"100";"-"
"Carneiros (AL)";"1407";"-";"-";"758";"-"
"Chã Preta (AL)";"471";"-";"-";"100";"-"
"Coité do Nóia (AL)";"1497";"-";"-";"600";"-"
"Colônia Leopoldina (AL)";"4536";"-";"3488";"10";"-"
"Coqueiro Seco (AL)";"288";"-";"37";"-";"-"
"Coruripe (AL)";"55823";"-";"50677";"120";"-"
"Craíbas (AL)";"5661";"-";"-";"3200";"-"
"Delmiro Gouveia (AL)";"2176";"-";"-";"1200";"-"
"Dois Riachos (AL)";"534";"-";"-";"275";"-"
"Estrela de Alagoas (AL)";"957";"-";"-";"450";"-"
"Feira Grande (AL)";"3062";"-";"243";"150";"-"
"Feliz Deserto (AL)";"5121";"-";"3712";"10";"-"
"Flexeiras (AL)";"4020";"-";"3109";"30";"-"
"Girau do Ponciano (AL)";"8351";"-";"-";"3500";"-"
"Ibateguara (AL)";"2284";"-";"1374";"50";"-"
"Igaci (AL)";"4296";"-";"-";"2200";"-"
"Igreja Nova (AL)";"6743";"-";"4656";"115";"-"
"Inhapi (AL)";"2862";"-";"-";"1200";"-"
"Jacaré dos Homens (AL)";"585";"-";"-";"500";"-"
"Jacuípe (AL)";"2937";"-";"2470";"-";"-"
"Japaratinga (AL)";"1292";"-";"109";"-";"-"
"Jaramataia (AL)";"984";"-";"-";"700";"-"
"Jequiá da Praia (AL)";"10525";"-";"8228";"50";"495"
"Joaquim Gomes (AL)";"3873";"-";"1009";"180";"-"
"Jundiá (AL)";"2638";"2";"2484";"-";"-"
"Junqueiro (AL)";"11387";"-";"7035";"250";"350"
"Lagoa da Canoa (AL)";"2232";"-";"-";"130";"-"
"Limoeiro de Anadia (AL)";"7043";"-";"600";"2200";"-"
"Maceió (AL)";"4520";"-";"4056";"-";"-"
"Major Isidoro (AL)";"3655";"-";"-";"3473";"-"
"Maragogi (AL)";"3548";"-";"904";"-";"-"
"Maravilha (AL)";"964";"-";"-";"600";"-"
"Marechal Deodoro (AL)";"13687";"-";"13138";"-";"100"
"Maribondo (AL)";"302";"-";"30";"5";"-"
"Mar Vermelho (AL)";"61";"-";"-";"10";"-"
"Mata Grande (AL)";"3431";"-";"10";"1200";"-"
"Matriz de Camaragibe (AL)";"7238";"-";"6624";"-";"-"
"Messias (AL)";"3277";"-";"3093";"-";"-"
"Minador do Negrão (AL)";"729";"-";"-";"320";"-"
"Monteirópolis (AL)";"325";"-";"-";"160";"-"
"Murici (AL)";"6970";"-";"4812";"200";"-"
"Novo Lino (AL)";"3479";"-";"2719";"10";"-"
"Olho d'Água das Flores (AL)";"942";"-";"-";"480";"-"
"Olho d'Água do Casado (AL)";"1531";"-";"-";"900";"-"
"Olho d'Água Grande (AL)";"482";"-";"-";"400";"-"
"Olivença (AL)";"1092";"-";"-";"1000";"-"
"Ouro Branco (AL)";"811";"-";"-";"350";"-"
"Palestina (AL)";"48";"-";"-";"30";"-"
"Palmeira dos Índios (AL)";"3091";"-";"-";"970";"-"
"Pão de Açúcar (AL)";"2132";"-";"-";"1600";"-"
"Pariconha (AL)";"2431";"-";"10";"950";"-"
"Paripueira (AL)";"1604";"-";"1227";"1";"-"
"Passo de Camaragibe (AL)";"7825";"-";"6688";"-";"-"
"Paulo Jacinto (AL)";"189";"-";"-";"60";"-"
"Penedo (AL)";"21006";"-";"19569";"100";"-"
"Piaçabuçu (AL)";"2257";"-";"-";"3";"-"
"Pilar (AL)";"6552";"-";"6368";"-";"-"
"Pindoba (AL)";"97";"-";"2";"1";"-"
"Piranhas (AL)";"2399";"-";"-";"1320";"-"
"Poço das Trincheiras (AL)";"1922";"-";"-";"1500";"-"
"Porto Calvo (AL)";"6202";"-";"4985";"-";"-"
"Porto de Pedras (AL)";"3698";"-";"1780";"-";"-"
"Porto Real do Colégio (AL)";"1923";"-";"44";"100";"-"
"Quebrangulo (AL)";"1255";"-";"5";"450";"-"
"Rio Largo (AL)";"10909";"-";"10814";"-";"-"
"Roteiro (AL)";"6204";"-";"4378";"8";"580"
"Santa Luzia do Norte (AL)";"576";"-";"393";"-";"-"
"Santana do Ipanema (AL)";"1167";"-";"-";"600";"-"
"Santana do Mundaú (AL)";"5816";"-";"-";"90";"-"
"São Brás (AL)";"1823";"-";"-";"1300";"-"
"São José da Laje (AL)";"11373";"-";"10528";"20";"-"
"São José da Tapera (AL)";"3934";"-";"-";"1850";"-"
"São Luís do Quitunde (AL)";"12472";"-";"11144";"80";"-"
"São Miguel dos Campos (AL)";"21609";"-";"20195";"100";"1023"
"São Miguel dos Milagres (AL)";"1966";"-";"921";"-";"-"
"São Sebastião (AL)";"7891";"-";"3251";"150";"-"
"Satuba (AL)";"1425";"-";"1408";"-";"-"
"Senador Rui Palmeira (AL)";"1789";"-";"-";"1200";"-"
"Tanque d'Arca (AL)";"343";"-";"3";"30";"-"
"Taquarana (AL)";"6785";"-";"69";"2000";"-"
"Teotônio Vilela (AL)";"16911";"-";"10487";"300";"100"
"Traipu (AL)";"4752";"-";"-";"2000";"-"
"União dos Palmares (AL)";"4804";"-";"920";"20";"-"
"Viçosa (AL)";"721";"-";"122";"50";"-"
"Amparo do São Francisco (SE)";"270";"-";"-";"215";"-"
"Aquidabã (SE)";"1673";"-";"-";"1300";"-"
"Aracaju (SE)";"25";"-";"-";"-";"-"
"Arauá (SE)";"3590";"-";"-";"348";"-"
"Areia Branca (SE)";"1904";"-";"1487";"10";"-"
"Barra dos Coqueiros (SE)";"746";"-";"-";"-";"-"
"Boquim (SE)";"2645";"-";"-";"200";"-"
"Brejo Grande (SE)";"3133";"-";"-";"-";"-"
"Campo do Brito (SE)";"850";"-";"-";"350";"-"
"Canhoba (SE)";"1896";"-";"-";"1750";"-"
"Canindé de São Francisco (SE)";"971";"-";"-";"620";"-"
"Capela (SE)";"9504";"-";"8500";"800";"-"
"Carira (SE)";"33000";"-";"-";"33000";"-"
"Carmópolis (SE)";"517";"-";"136";"4";"-"
"Cedro de São João (SE)";"230";"-";"-";"143";"-"
"Cristinápolis (SE)";"4806";"-";"-";"465";"-"
"Cumbe (SE)";"3146";"-";"-";"3100";"-"
"Divina Pastora (SE)";"397";"-";"330";"10";"-"
"Estância (SE)";"3565";"-";"-";"98";"-"
"Feira Nova (SE)";"6300";"-";"-";"6300";"-"
"Frei Paulo (SE)";"16500";"-";"-";"16500";"-"
"Gararu (SE)";"5944";"-";"-";"5840";"-"
"General Maynard (SE)";"35";"-";"-";"3";"-"
"Graccho Cardoso (SE)";"4252";"-";"-";"4200";"-"
"Ilha das Flores (SE)";"2357";"-";"-";"1";"-"
"Indiaroba (SE)";"4637";"-";"-";"80";"-"
"Itabaiana (SE)";"2462";"-";"-";"800";"-"
"Itabaianinha (SE)";"6930";"-";"-";"2198";"-"
"Itabi (SE)";"1805";"-";"-";"1800";"-"
"Itaporanga d'Ajuda (SE)";"3395";"-";"196";"300";"-"
"Japaratuba (SE)";"8110";"-";"6522";"70";"-"
"Japoatã (SE)";"9453";"-";"5409";"2470";"-"
"Lagarto (SE)";"10910";"-";"-";"3500";"-"
"Laranjeiras (SE)";"10259";"-";"10100";"12";"-"
"Macambira (SE)";"3040";"-";"-";"3000";"-"
"Malhada dos Bois (SE)";"139";"-";"-";"88";"-"
"Malhador (SE)";"760";"-";"-";"-";"-"
"Maruim (SE)";"4156";"-";"4100";"-";"-"
"Moita Bonita (SE)";"1370";"-";"-";"-";"-"
"Monte Alegre de Sergipe (SE)";"4500";"-";"-";"4400";"-"
"Muribeca (SE)";"455";"-";"289";"110";"-"
"Neópolis (SE)";"6427";"-";"2048";"160";"-"
"Nossa Senhora Aparecida (SE)";"4835";"-";"-";"4800";"-"
"Nossa Senhora da Glória (SE)";"10300";"-";"-";"10200";"-"
"Nossa Senhora das Dores (SE)";"7242";"-";"1700";"5400";"-"
"Nossa Senhora de Lourdes (SE)";"907";"-";"-";"900";"-"
"Nossa Senhora do Socorro (SE)";"598";"-";"346";"10";"-"
"Pacatuba (SE)";"7095";"-";"1798";"190";"-"
"Pedra Mole (SE)";"2850";"-";"-";"2850";"-"
"Pedrinhas (SE)";"1110";"-";"-";"55";"-"
"Pinhão (SE)";"5100";"-";"-";"5100";"-"
"Pirambu (SE)";"965";"-";"90";"-";"-"
"Poço Redondo (SE)";"3312";"-";"-";"2500";"-"
"Poço Verde (SE)";"16750";"-";"-";"16500";"-"
"Porto da Folha (SE)";"3330";"-";"-";"3200";"-"
"Propriá (SE)";"1655";"-";"-";"136";"-"
"Riachão do Dantas (SE)";"5017";"-";"-";"3400";"-"
"Riachuelo (SE)";"2964";"-";"2250";"25";"-"
"Ribeirópolis (SE)";"1450";"-";"-";"1000";"-"
"Rosário do Catete (SE)";"2187";"-";"2150";"20";"-"
"Salgado (SE)";"3395";"-";"-";"500";"-"
"Santa Luzia do Itanhy (SE)";"3361";"-";"-";"86";"-"
"Santana do São Francisco (SE)";"1044";"-";"338";"38";"-"
"Santa Rosa de Lima (SE)";"110";"-";"-";"10";"-"
"Santo Amaro das Brotas (SE)";"2540";"-";"610";"15";"-"
"São Cristóvão (SE)";"1352";"-";"413";"125";"-"
"São Domingos (SE)";"790";"-";"-";"100";"-"
"São Francisco (SE)";"2020";"-";"1365";"573";"-"
"São Miguel do Aleixo (SE)";"1500";"-";"-";"1500";"-"
"Simão Dias (SE)";"23138";"-";"-";"23000";"-"
"Siriri (SE)";"1478";"-";"1300";"130";"-"
"Telha (SE)";"277";"-";"-";"155";"-"
"Tobias Barreto (SE)";"1700";"-";"-";"1500";"-"
"Tomar do Geru (SE)";"2948";"-";"-";"510";"-"
"Umbaúba (SE)";"4244";"-";"-";"120";"-"
"Abaíra (BA)";"930";"145";"300";"145";"-"
"Abaré (BA)";"3537";"-";"-";"940";"-"
"Acajutiba (BA)";"3518";"-";"-";"233";"-"
"Adustina (BA)";"34700";"-";"-";"31700";"-"
"Água Fria (BA)";"4108";"-";"-";"1800";"-"
"Érico Cardoso (BA)";"1487";"5";"240";"337";"-"
"Aiquara (BA)";"2432";"2";"7";"8";"-"
"Alagoinhas (BA)";"1927";"-";"5";"155";"-"
"Alcobaça (BA)";"3933";"1000";"20";"29";"-"
"Almadina (BA)";"2714";"84";"20";"20";"-"
"Amargosa (BA)";"3459";"31";"80";"6";"-"
"Amélia Rodrigues (BA)";"195";"-";"1";"13";"-"
"América Dourada (BA)";"7857";"-";"-";"4079";"-"
"Anagé (BA)";"1566";"-";"33";"570";"-"
"Andaraí (BA)";"1448";"-";"-";"510";"-"
"Andorinha (BA)";"2170";"-";"-";"1163";"-"
"Angical (BA)";"2571";"-";"180";"1533";"-"
"Anguera (BA)";"1224";"-";"-";"612";"-"
"Antas (BA)";"5353";"-";"-";"4200";"-"
"Antônio Cardoso (BA)";"2031";"-";"-";"1110";"-"
"Antônio Gonçalves (BA)";"1044";"5";"5";"473";"-"
"Aporá (BA)";"3363";"-";"-";"1817";"-"
"Apuarema (BA)";"2492";"-";"20";"-";"-"
"Aracatu (BA)";"2414";"-";"-";"485";"-"
"Araçás (BA)";"715";"-";"4";"77";"-"
"Araci (BA)";"12466";"-";"-";"1580";"-"
"Aramari (BA)";"609";"-";"-";"148";"-"
"Arataca (BA)";"10593";"550";"-";"-";"-"
"Aratuípe (BA)";"1177";"-";"20";"2";"-"
"Aurelino Leal (BA)";"5870";"-";"-";"12";"-"
"Baianópolis (BA)";"25513";"-";"50";"815";"17983"
"Baixa Grande (BA)";"5200";"-";"-";"2600";"-"
"Banzaê (BA)";"4748";"-";"-";"1500";"-"
"Barra (BA)";"2379";"-";"540";"152";"106"
"Barra da Estiva (BA)";"14097";"10102";"-";"99";"-"
"Barra do Choça (BA)";"19979";"16000";"80";"567";"-"
"Barra do Mendes (BA)";"1239";"90";"-";"196";"-"
"Barra do Rocha (BA)";"5151";"-";"-";"-";"-"
"Barreiras (BA)";"294851";"3536";"50";"12004";"234596"
"Barro Alto (BA)";"5233";"-";"-";"824";"-"
"Barrocas (BA)";"3190";"-";"-";"1000";"-"
"Barro Preto (BA)";"7573";"11";"1";"-";"-"
"Belmonte (BA)";"13940";"177";"55";"29";"-"
"Belo Campo (BA)";"3955";"10";"5";"500";"-"
"Biritinga (BA)";"2296";"-";"-";"1200";"-"
"Boa Nova (BA)";"1172";"14";"53";"-";"-"
"Boa Vista do Tupim (BA)";"944";"-";"-";"312";"-"
"Bom Jesus da Lapa (BA)";"15498";"-";"8";"891";"-"
"Bom Jesus da Serra (BA)";"1502";"-";"5";"804";"-"
"Boninal (BA)";"1390";"7";"15";"500";"-"
"Bonito (BA)";"8217";"7231";"-";"41";"-"
"Boquira (BA)";"2165";"-";"35";"750";"-"
"Botuporã (BA)";"1766";"-";"-";"358";"-"
"Brejões (BA)";"1777";"1204";"-";"5";"-"
"Brejolândia (BA)";"338";"-";"45";"150";"-"
"Brotas de Macaúbas (BA)";"1156";"-";"24";"519";"-"
"Brumado (BA)";"3911";"-";"-";"267";"-"
"Buerarema (BA)";"7526";"10";"-";"-";"-"
"Buritirama (BA)";"1528";"-";"-";"606";"-"
"Caatiba (BA)";"331";"4";"13";"4";"-"
"Cabaceiras do Paraguaçu (BA)";"2684";"-";"-";"600";"-"
"Cachoeira (BA)";"1019";"-";"25";"123";"-"
"Caculé (BA)";"1630";"1";"65";"600";"-"
"Caém (BA)";"631";"-";"-";"100";"-"
"Caetanos (BA)";"1140";"-";"-";"446";"-"
"Caetité (BA)";"2945";"10";"185";"800";"-"
"Cafarnaum (BA)";"6736";"-";"-";"2652";"-"
"Cairu (BA)";"626";"-";"-";"-";"-"
"Caldeirão Grande (BA)";"1149";"-";"-";"510";"-"
"Camacan (BA)";"8822";"900";"-";"-";"-"
"Camaçari (BA)";"529";"-";"1";"4";"-"
"Camamu (BA)";"19492";"99";"9";"-";"-"
"Campo Alegre de Lourdes (BA)";"6147";"-";"-";"1762";"-"
"Campo Formoso (BA)";"36069";"-";"8";"2700";"-"
"Canápolis (BA)";"1019";"-";"350";"200";"-"
"Canarana (BA)";"7805";"-";"-";"1592";"-"
"Canavieiras (BA)";"7396";"334";"-";"-";"-"
"Candeal (BA)";"848";"-";"-";"414";"-"
"Candeias (BA)";"72";"-";"-";"4";"-"
"Candiba (BA)";"1912";"-";"2";"70";"-"
"Cândido Sales (BA)";"2513";"45";"4";"437";"-"
"Cansanção (BA)";"21154";"-";"-";"9800";"-"
"Canudos (BA)";"4380";"-";"-";"1500";"-"
"Capela do Alto Alegre (BA)";"1033";"-";"-";"481";"-"
"Capim Grosso (BA)";"601";"-";"-";"230";"-"
"Caraíbas (BA)";"1552";"-";"1";"296";"-"
"Caravelas (BA)";"18498";"1100";"16000";"20";"-"
